File,CustomBanque(%Of-File),CustomBanque(%Of-Feature),CustomBanque(#Propagations),Github(%Of-File),Github(%Of-Feature),Github(#Propagations),Email(%Of-File),Email(%Of-Feature),Email(#Propagations),Banque-postale(%Of-File),Banque-postale(%Of-Feature),Banque-postale(#Propagations),Societe-generale(%Of-File),Societe-generale(%Of-Feature),Societe-generale(#Propagations),CIC(%Of-File),CIC(%Of-Feature),CIC(#Propagations),Google(%Of-File),Google(%Of-Feature),Google(#Propagations),Microsoft(%Of-File),Microsoft(%Of-Feature),Microsoft(#Propagations),Logo(%Of-File),Logo(%Of-Feature),Logo(#Propagations),Yahoo(%Of-File),Yahoo(%Of-Feature),Yahoo(#Propagations),overdraft(%Of-File),overdraft(%Of-Feature),overdraft(#Propagations),Twitter(%Of-File),Twitter(%Of-Feature),Twitter(#Propagations),BankChoice(%Of-File),BankChoice(%Of-Feature),BankChoice(#Propagations),Default(%Of-File),Default(%Of-Feature),Default(#Propagations),Phone(%Of-File),Phone(%Of-Feature),Phone(#Propagations),Apple(%Of-File),Apple(%Of-Feature),Apple(#Propagations),Authentification(%Of-File),Authentification(%Of-Feature),Authentification(#Propagations),Facebook(%Of-File),Facebook(%Of-Feature),Facebook(#Propagations),personalization(%Of-File),personalization(%Of-Feature),personalization(#Propagations),About-View(%Of-File),About-View(%Of-Feature),About-View(#Propagations)
frontend/src/views/Login.vue,0,0,0,9.482001755926252,100,2,9.306409130816505,100,2,0,0,0,0,0,0,0,0,0,9.482001755926252,100,2,2.194907813871817,100,1,0,0,0,1.8437225636523267,100,1,0,0,0,4.8287971905179985,100,1,0,0,0,0,0,0,4.653204565408252,100,1,1.8437225636523267,100,1,0,0,0,9.833187006145742,100,2,0,0,0,0,0,0
frontend/src/static/data/banque_postale.json,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/cic.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/default.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/societe_generale.json,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/banque_postale.css,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/cic.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/default.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/societe_generale.css,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/views/About.vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,71.42857142857143,5
frontend/src/router/index.js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3359375,14.285714285714285,1
frontend/src/App.vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59409594095941,14.285714285714285,1
backend/src/main/java/fr/su/bankapp/model/Client.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27573001436094,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
