File,06e517d5-085e-4723-9032-7c65058d7be6(%Of-File),06e517d5-085e-4723-9032-7c65058d7be6(%Of-Feature),06e517d5-085e-4723-9032-7c65058d7be6(#Propagations),0f1da605-621d-43fa-a6c2-2b9037f7796b(%Of-File),0f1da605-621d-43fa-a6c2-2b9037f7796b(%Of-Feature),0f1da605-621d-43fa-a6c2-2b9037f7796b(#Propagations),10eaff41-4125-4229-9cd6-202e2cac5e93(%Of-File),10eaff41-4125-4229-9cd6-202e2cac5e93(%Of-Feature),10eaff41-4125-4229-9cd6-202e2cac5e93(#Propagations),1d6e2e98-28dc-4ab9-9aa4-93cfba58b11b(%Of-File),1d6e2e98-28dc-4ab9-9aa4-93cfba58b11b(%Of-Feature),1d6e2e98-28dc-4ab9-9aa4-93cfba58b11b(#Propagations),3fd9381c-32ab-4e19-ab01-744e30c1ae7e(%Of-File),3fd9381c-32ab-4e19-ab01-744e30c1ae7e(%Of-Feature),3fd9381c-32ab-4e19-ab01-744e30c1ae7e(#Propagations),5f440b15-937c-44f6-9f29-b894bc8f7329(%Of-File),5f440b15-937c-44f6-9f29-b894bc8f7329(%Of-Feature),5f440b15-937c-44f6-9f29-b894bc8f7329(#Propagations),6fc1e782-b3a1-4055-9daa-01b5ee9fdd93(%Of-File),6fc1e782-b3a1-4055-9daa-01b5ee9fdd93(%Of-Feature),6fc1e782-b3a1-4055-9daa-01b5ee9fdd93(#Propagations),70afe74b-4b78-4fa9-bfa4-e425c97a59d8(%Of-File),70afe74b-4b78-4fa9-bfa4-e425c97a59d8(%Of-Feature),70afe74b-4b78-4fa9-bfa4-e425c97a59d8(#Propagations),9260490f-94bb-42e3-bd3c-0658232cdab2(%Of-File),9260490f-94bb-42e3-bd3c-0658232cdab2(%Of-Feature),9260490f-94bb-42e3-bd3c-0658232cdab2(#Propagations),97c9394c-a001-43a5-941e-b2621e76cd6c(%Of-File),97c9394c-a001-43a5-941e-b2621e76cd6c(%Of-Feature),97c9394c-a001-43a5-941e-b2621e76cd6c(#Propagations),a6e8bd5d-2b21-4dc5-ae2d-d7413d295fe6(%Of-File),a6e8bd5d-2b21-4dc5-ae2d-d7413d295fe6(%Of-Feature),a6e8bd5d-2b21-4dc5-ae2d-d7413d295fe6(#Propagations),a847b2e7-9c9f-4a7f-907a-17fb8da33edf(%Of-File),a847b2e7-9c9f-4a7f-907a-17fb8da33edf(%Of-Feature),a847b2e7-9c9f-4a7f-907a-17fb8da33edf(#Propagations),a97d36a3-8528-487c-870c-1ae2742b2641(%Of-File),a97d36a3-8528-487c-870c-1ae2742b2641(%Of-Feature),a97d36a3-8528-487c-870c-1ae2742b2641(#Propagations),b587769f-1255-447e-9e77-46968e73fdbb(%Of-File),b587769f-1255-447e-9e77-46968e73fdbb(%Of-Feature),b587769f-1255-447e-9e77-46968e73fdbb(#Propagations),b6f98059-0c75-4ddd-b4d3-bac33e6fce56(%Of-File),b6f98059-0c75-4ddd-b4d3-bac33e6fce56(%Of-Feature),b6f98059-0c75-4ddd-b4d3-bac33e6fce56(#Propagations),bcc94b6f-ceab-4f1c-87ea-d85c47e4af67(%Of-File),bcc94b6f-ceab-4f1c-87ea-d85c47e4af67(%Of-Feature),bcc94b6f-ceab-4f1c-87ea-d85c47e4af67(#Propagations),c41edead-a873-4c78-870b-26f224989439(%Of-File),c41edead-a873-4c78-870b-26f224989439(%Of-Feature),c41edead-a873-4c78-870b-26f224989439(#Propagations),c6f06960-322a-4dc9-8257-48e00e11a2a7(%Of-File),c6f06960-322a-4dc9-8257-48e00e11a2a7(%Of-Feature),c6f06960-322a-4dc9-8257-48e00e11a2a7(#Propagations),d38fb18e-cd4d-4686-b8c7-b9114f24a892(%Of-File),d38fb18e-cd4d-4686-b8c7-b9114f24a892(%Of-Feature),d38fb18e-cd4d-4686-b8c7-b9114f24a892(#Propagations),fc2e7569-c4e3-42f6-8bb8-e977c210324b(%Of-File),fc2e7569-c4e3-42f6-8bb8-e977c210324b(%Of-Feature),fc2e7569-c4e3-42f6-8bb8-e977c210324b(#Propagations)
frontend/src/views/Login.vue,0,0,0,9.482001755926252,100,2,9.306409130816505,100,2,0,0,0,0,0,0,0,0,0,9.482001755926252,100,2,2.194907813871817,100,1,0,0,0,1.8437225636523267,100,1,0,0,0,4.8287971905179985,100,1,0,0,0,0,0,0,4.653204565408252,100,1,1.8437225636523267,100,1,0,0,0,9.833187006145742,100,2,0,0,0,0,0,0
frontend/src/static/data/banque_postale.json,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/cic.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/default.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/data/societe_generale.json,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/banque_postale.css,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/cic.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/default.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/static/styles/banks/societe_generale.css,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frontend/src/views/About.vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,71.42857142857143,5
frontend/src/router/index.js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3359375,14.285714285714285,1
frontend/src/App.vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59409594095941,14.285714285714285,1
backend/src/main/java/fr/su/bankapp/model/Client.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27573001436094,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
